"id","microred_id/id","institucion","codigo_eess","name","ubigeo","categoria","estado","condicion","telefono","responsable","inicio_actividad","direccion","ruc","tipo","coor_norte","coor_este"
"renipress.eess_00026205","renipress.microred_21_00_00","11","00026205","CONSULTORIO MEDICO DE SEDAPAL- SEDE ATE","150103","2","1","3","999237447","ROBERTO CARLOS MUÑOZ ALDANA ","13/11/2018","AVENIDA NICOLAS AYLLON NÚMERO 2309 PISO 3 DISTRITO ATE PROVINCIA LIMA DEPARTAMENTO LIMA","20100152356","2","-76.9802503","-12.0618186"
"renipress.eess_00026632","renipress.microred_36_00_00","11","00026632","CONSULTORIO  MEDICO DE SEDAPAL-SEDE SAN JUAN DE LURIGANCHO","150132","2","1","3","(51) 1- 3173040","JOSE ANTONIO YOSIOKA INOUE ","21/02/2019","AVENIDA PROCERES DE LA INDEPENDENCIA N?ERO 3105 DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA","20100152356","2","-77.0051201","-11.9790953"
"renipress.eess_00026674","renipress.microred_36_00_00","11","00026674","OBNA","150122","1","1","3","992763768","CARLA SALCEDO CALDERON ","13/03/2019","CALLE CORONEL INCLAN N?ERO 235 PISO 4 DEPARTAMENTO 415 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA","20602656323","2","-77.031498","-12.1175333"
"renipress.eess_00026820","renipress.microred_34_00_00","11","00026820","CENTRO DE DIALISIS NOSTRA SIGNORA DI LOURDES SAC","250105","99","1","3","971164123","CHRISTIAN RAFAEL MIRANDA ORRILLO ","23/11/2018","JIRÓN ROSA MERINO MANZANA A LOTE 20 DISTRITO YARINACOCHA PROVINCIA CORONEL PORTILLO DEPARTAMENTO UCAYALI","20604195421","3","-74.55450202","-8.37864947"
"renipress.eess_00026889","renipress.microred_29_00_00","11","00026889","CLÍNICA SAN CARLOS","211101","4","1","3","986699233","JUAN CARLOS RAMOS MAMANI ","01/04/2019","AVENIDA CIRCUNVALACIÓN N?ERO 288 DISTRITO JULIACA PROVINCIA SAN ROMAN DEPARTAMENTO PUNO","20604416401","1","-70.129653","-15.4996879"
"renipress.eess_00026964","renipress.microred_19_00_00","11","00026964","CENTRO MEDICO ESPECIALIZADO EN DIABETES Y ENDOCRINOLOGIA DEL NORTE (CEDEN EIRL)","140101","3","1","3","948462820","JULIO MANUEL SIFUENTES MORENO ","01/05/2018","AVENIDA MARISCAL ANDRES AVELINO CACERES N?ERO 257 PISO 1 URBANIZACI? SANTA VICTORIA DISTRITO CHICLAYO PROVINCIA CHICLAYO DEPARTAMENTO LAMBAYEQUE","20601617359","2","-79.8434403","-6.7815442"
"renipress.eess_00026985","renipress.microred_23_00_00","11","00026985","MEDICINA ESTETICA Y LASER","150140","2","1","3","015408952","HUGO ABEL GOTELLI MOLINA ","01/03/2018","AVENIDA DEL PINAR N?ERO 110 INTERIOR 101 URBANIZACI? CHACARILLA DEL ESTANQUE DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA","20602712878","2","-76.98929674","-12.11259234"
"renipress.eess_00027006","renipress.microred_32_00_00","11","00027006","SERAX MED","230101","99","1","3","958580208","ARMANDO LUCAS CAMASCA GARCIA ","30/11/2016","CALLE BLONDELL NÚMERO 314 PISO 1 DISTRITO TACNA PROVINCIA TACNA DEPARTAMENTO TACNA","20600747241","3","",""
"renipress.eess_00027086","renipress.microred_36_00_00","11","00027086","MEDI SKIN SAC","150122","2","1","3","(51) 1-2798365","DESIREE ELIHU ACOSTA DE LA CRUZ ","27/05/2019","CALLE ELIAS AGUIRRE N?ERO 605 PISO 5 DEPARTAMENTO 501 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA","20601878039","2","-77.0347337","-12.1148632"
"renipress.eess_00027188","renipress.microred_8_00_00","11","00027188","CONSULTORIO ODONTOLOGICO SALUDENTAL","070106","1","1","3","941169756","LEONIDAS PANIURA QUISPE ","01/06/2019","OTROS . PISO 2 MANZANA C8 LOTE 12 URBANIZACI? EX ZONA COMERCIAL E INDUSTRIAL DISTRITO VENTANILLA PROVINCIA CALLAO DEPARTAMENTO CALLAO","20604389331","2","-77.1267956","-11.8723578"
